Designator,Footprint,Quantity,Value, #LCSC Part
"BT0, RST",SW_Push_3mm,2,SW_Push,
"C2, C3",0805,2,10u,
"C4, C5",0603,2,20p,
C6,0805,1,100n,
D1,0603,1,LED,
"J1, J6",PinHeader_1x04_P1.25mm_Vertical,2,i2c1,
J3,USB_C_Receptacle_G-Switch_16p,1,USB_C_Receptacle_USB2.0_16P,
"J4, J5",PinHeader_1x06_P1.25mm_Vertical,2,Conn_01x06_Pin,
"R1, R2",0805,2,5k1,
R3,0603,1,1k,
"R4, R5",0805,2,4k7,
U1,WQFN-28-1EP_4x4mm_P0.4mm_EP2.7x2.7mm,1,CH32V203G6U6,
U2,SOT-23-3,1,AMS1117-3.3,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,
